release_spin_rate,release_speed
2166,94.3
2284,95.6
2292,95.2
2218,95.9
2070,77.4
1837,77.5
2199,94.5
1545,87.7
1573,88.4
1617,88.4
2231,96
1755,88.9
2027,78.2
2291,95.4
2247,95.5
1742,88.5
1952,76
1951,74.9
2233,84.9
2307,95
2021,77.4
2011,75.8
2391,91.1
2314,95
2383,91.6
1776,87.7
1944,75.6
2070,76
2168,93.9
2247,90.3
2318,96
2256,95.7
2066,78.1
2265,95.7
2236,95
1710,88.4
1645,89.1
2348,95.8
2065,78.2
2129,94.8
1661,88.7
1574,89.5
1797,90.2
2059,76.9
1786,88
1926,77.3
2242,91.9
1730,87.6
1730,87
1661,89.6
2049,78.8
2196,94.6
1641,88.6
2013,78.1
2108,77.8
2191,94.2
2391,91.6
2178,94.5
1562,87.7
1889,75.6
2294,91
1779,89.1
2204,95.5
2227,94.7
1663,88.5
2269,92.3
1998,76.3
1667,90
1811,88.5
2283,95.3
2241,95.3
1739,88.4
2382,92.4
2261,96.2
1972,78.5
2297,95.6
2030,87.4
1597,88.9
1896,78.1
2300,91.3
1617,87.6
2275,96.3
1847,89.8
2296,94.9
1972,77.9
2319,94.4
2031,78.9
1706,88.9
1868,89.1
2291,96.4
2049,77.4
1774,88.5
2043,78.7
2322,96.3
2265,95.8
1641,90.1
2270,97.3
2022,77.9
2209,96.7
1724,88.2
1627,89.8
1942,77.6
1752,90.2
2333,96.4
2333,97.2
1814,89.3
2326,96.8
2346,90.9
1747,89.4
1858,78.2
1774,90
1667,89.9
2302,95.7
1783,88.2
1597,90.6
2053,77.2
1579,89.3
2297,93.2
2220,92.2
2066,77.4
2354,91.7
2250,96.8
2160,95.5
2047,78.8
2302,93
1731,88.9
1987,76.2
1673,89.4
2245,92.7
1734,88.2
1740,88.8
2262,91.5
1520,87.7
2199,91.5
1552,89.6
2172,95
2201,88.7
1645,88.6
1813,89.2
2143,77.2
1637,88.5
2188,87.4
2116,78
2231,95.4
1758,90.1
2269,96
2307,91.5
1723,88.7
2229,95.2
1691,90.8
1718,88.8
1641,89.7
2059,77
2117,96.6
2355,94.1
1634,89.2
2202,95.7
2162,95.8
1733,88
1774,88.4
2210,94.8
1620,87.5
2160,95.2
1779,89.2
2233,97
2151,95
1631,86.7
2030,94.9
1523,88.4
2230,92
2174,96.2
2342,93.1
1763,88.5
1876,76.3
2339,96.3
1756,88.4
1755,87.8
2283,92.2
1662,74.6
1572,88.5
1909,77.4
1683,88.9
2149,91
2147,94.6
1541,88.1
1546,88.9
2235,91.3
1678,89.5
1755,88.8
1816,77.1
1562,88.3
1637,86.9
1887,78.7
2282,95.9
1756,89.9
2292,91.1
2194,95
2281,95
2200,92
1744,88.5
2154,88.4
2321,90.7
2155,95.4
2187,95
2196,95.6
2277,92.1
2316,89.9
2016,76.7
1744,89.5
2132,96.5
2195,96.7
2225,91.2
1794,88.2
1697,87.3
2223,89.5
2172,95.6
2177,94.7
2382,89.3
2224,96.1
2078,93.8
1834,75.1
2302,96.5
2242,98.1
1611,89.9
2277,91.8
2214,97.5
2121,96.5
1798,90.4
1588,91.2
2277,96.8
2329,89.3
1734,77.7
1749,90.5
1988,76.3
2210,95.5
2295,91.1
1758,76.5
1759,89.6
1764,88.8
2239,95.1
2198,95.9
1600,87.8
2307,89.9
2167,95.1
1863,88.8
2316,88
2326,89.1
2284,95.7
1884,77.3
2160,95.5
2126,95.3
2242,96.2
2383,93.7
2261,90.4
1723,90.1
2142,94.5
2190,95.3
2429,89.2
2240,94.8
2270,95.3
1749,89.7
1996,78
2207,95.5
2226,94.8
2133,94.5
1672,88.2
2255,95
2408,90.1
2202,94.8
1860,86.9
2415,91.7
2156,95.9
1780,90.2
1751,88.6
2251,96.4
1707,90.4
1904,77.2
1629,89.5
1645,88.4
2207,96.5
2210,97.1
1962,78
2259,96.7
1995,78.1
2259,97
2172,96.1
1450,87
2097,95.2
1485,86.9
1381,87
2123,89.3
1489,84.5
1590,88.8
2086,93.7
2302,91.2
1517,87.7
2074,95.2
1956,94.5
1882,77.6
1893,93.4
1489,87.2
2068,96.4
1484,86.7
2162,94.9
2103,93.5
1891,76.2
2096,92.5
2203,94.6
2252,90.1
1526,88.2
1550,88.3
2073,94.2
2334,90.9
2057,94.3
1443,88.2
2138,95.3
2243,95.6
2132,96.5
2193,95.4
1478,88.7
1722,74.9
2132,95.1
1467,88
1390,87.6
1951,94.5
1657,88.6
1654,88.5
2123,96.1
2052,93.6
1717,74.2
1579,88.7
2248,95.7
1849,76.3
2114,94
1654,88.1
2187,94.3
2088,94.6
2211,89.4
1513,87.5
2075,94
1657,89.5
1952,77.2
2013,95.1
1555,87.7
2196,96.8
1817,76.8
1652,90.7
1719,89.9
2263,97.1
1728,89.8
2230,96.6
2215,94.9
2139,95.3
2098,94.8
2005,94.7
1763,75.8
2280,91
2281,96.6
1604,76.3
1641,89
1615,87.4
2064,95.5
1741,77
2162,94.5
2219,95.2
2182,93.8
1604,86.3
1646,86.7
1840,74.3
1568,87.1
2165,93
2378,90.5
1651,85.1
1544,84.3
1450,84.1
2105,88.4
2078,93.2
2047,93.4
1746,71.1
1602,86.8
2031,91.9
1462,85.8
1623,73.2
2029,92.4
2125,87.1
1783,72
1781,75.1
2146,92.8
2104,93.2
2388,88.4
1725,74.3
2176,92.1
2103,91.6
1616,85.7
2106,92.5
2151,86.5
1541,84.5
2143,91.7
1800,72.2
2219,93.3
1976,75.5
2147,92.2
2241,89.4
1480,87
1520,87.1
2078,94.8
2005,92.8
2126,84.2
1484,85.2
1616,84.8
2055,93.7
1647,85.7
1875,73.3
2237,87.2
2080,91.8
2065,91.8
1473,84.5
2032,92.3
1656,87.3
1880,73
2083,83.4
1623,84.4
2145,88.5
1552,84.3
1651,84.7
2111,87.9
1585,82.7
2141,92.6
1579,86.1
2126,82.6
2139,93.9
1615,85.8
2000,75.2
2281,89.5
1631,85.9
2222,93
1944,73.4
2214,87.6
1686,86.8
2164,82.4
1641,87.2
2176,88.1
2066,82.7
1592,85
1865,74
1645,85.8
1701,85.4
2264,96.3
1547,84.8
1677,86.6
2124,93.3
2152,93
2304,88.8
1681,89.2
2203,94.8
2304,90.1
1512,86.2
2114,93.1
2056,93
2122,92
1643,73.8
2193,88.4
1946,93
1798,74.8
1714,72.4
2056,92.7
2005,75.6
2285,89.1
1565,87
2085,93.2
1839,75
1882,74.5
1604,86.6
1785,74.6
2090,93.2
1890,92.2
1759,73.1
1550,86.4
1413,84.6
1745,73.9
2310,89.8
2133,93.7
1632,87.2
2152,92.8
2165,88.3
2306,90.1
2229,87.6
2077,92.6
2278,89.6
1554,85.9
2007,76.4
2161,94.3
2254,94.4
1931,93.5
2185,89.3
2181,88.5
1868,75.7
2244,88.7
1478,86
2125,87.8
1856,76.2
2073,93.9
1592,88.2
2206,93.2
1839,75.5
1802,76.1
2139,93.3
2079,82.9
1867,74.7
2218,93.7
1635,86.8
2109,94
1787,86.1
2004,75.2
1663,89.4
2053,82.6
1631,85
1636,87.4
2166,81.7
1915,75
2085,82.5
1923,75.4
2132,94.3
1642,87.2
2160,88.8
2061,92.7
2199,94.6
2250,91.1
2127,95.5
2007,76.7
1522,88
2041,94.6
2378,91.1
1991,94.4
1663,88.7
2203,96.4
2160,82.1
1641,87.4
1920,74.7
2150,81.2
2105,91.1
2222,88.9
2129,94.7
1964,76.6
2297,90.9
1561,88.1
1982,75.4
1602,87.3
2070,82.7
1539,88.5
1679,88.7
2285,90.3
1645,87.9
2016,92.6
2132,89.6
1676,90.4
2296,94.3
1754,89.2
2291,93.9
2328,94.8
2352,89.5
2273,94
2392,90.7
1757,89.4
2152,93.1
2210,90
1559,89.5
1637,87.6
1782,75.4
2294,90.5
2227,94.8
2283,89.5
2088,94.1
2148,94.8
2135,83.6
1663,89.2
2149,93.4
1595,88.3
2255,89.9
2104,93.9
2329,91.4
1656,89.6
2171,94.5
2092,82.6
2228,87.9
2176,93.9
2192,93.7
1606,89.2
1517,88.3
1725,75.7
2325,90.3
1584,88.3
2152,94.1
1648,88.8
2248,88.7
2274,94.5
2233,94.4
2077,81.3
2043,83.6
1987,84.1
2155,92.3
2144,92.4
2123,82.9
2316,88.9
2154,82.4
2314,94.7
2202,93.3
2258,89.8
1636,88.5
1567,85.6
2176,95.6
1553,88
2178,94.2
2290,89.8
1759,74.9
2174,94.5
2273,88.3
1672,89.1
2119,84.2
2404,89
1712,88.1
1559,87.8
2312,95.5
2388,91.2
1905,77.2
2295,94.2
2349,91.9
2200,95.5
2138,95.1
1918,75.5
1522,86.7
1518,87.2
2102,93.3
2165,94.1
2230,84.6
2262,94.7
2238,89.7
2157,94.4
2243,95.3
2181,93.8
2232,88.6
1598,87.8
2208,88.9
2279,90.1
1604,87.3
1488,87.6
2308,89.9
2259,95.4
1587,86.5
1991,76.6
1564,88.4
2323,89.6
2296,94.9
2201,95.2
2031,83.9
2220,89.9
1513,87.5
2146,93.4
1558,88.3
2027,93.7
2087,82.3
2052,82.5
2314,88.8
2192,94.7
2171,93.7
2181,88.7
1526,87.5
2198,93.5
2132,94
1900,76.2
2036,84.1
1840,76.5
2091,84.8
1569,87.3
2157,93.8
2210,89.3
1561,87.4
1414,87.3
2195,94.1
1737,87.9
2157,93.4
1979,75.7
2320,91.9
2200,94
2210,94.9
2209,95.1
2231,89.7
2157,95.1
2083,94.5
1852,75.2
2198,92.1
